signal_date,code,name,adv,days,last_close,adv_window_days,status,entry_date,entry_open,exit_date,exit_open,net_return,note
2026-07-21,002812,恩捷股份,2231900301.6619997,20,60.95,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,603929,亚翔集成,2229825590.2505,20,219.29,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,600259,中稀有色,2226220950.6735,20,89.0,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,300568,星源材质,2225850347.184,20,18.46,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,002648,卫星化学,2213623078.716,20,22.92,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,688257,新锐股份,2212519768.841,20,82.06,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,001389,广合科技,2207772985.707,20,181.5,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,688106,金宏气体,2204701068.9595003,20,36.1,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,003031,中瓷电子,2200541688.309,20,141.94,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-07-21,300747,锐科激光,2197720970.001,20,40.3,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,002579,中京电子,2231816864.1715,20,11.99,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,002812,恩捷股份,2229791857.526,20,47.84,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,003031,中瓷电子,2221002682.5675,20,108.56,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,001389,广合科技,2220065382.3685,20,166.8,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,300811,铂科新材,2218790717.0615,20,65.27,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,603002,宏昌电子,2217659599.806,20,13.8,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,688257,新锐股份,2213313880.691,20,61.4,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,300568,星源材质,2200857659.6485,20,11.9,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,000807,云铝股份,2198408357.7045,20,25.58,20,pending_entry_next_open,,,,,,personal simulation only; no live order
2026-08-25,600259,中稀有色,2198293191.9735003,20,71.83,20,pending_entry_next_open,,,,,,personal simulation only; no live order
