quarter,date,asof_price_date,rank,code,trailing_yield,note
2026Q3,2026-07-12,2026-07-08,1,601717.SH,0.1329,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,2,603167.SH,0.1305,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,3,002763.SZ,0.1237,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,4,600803.SH,0.1192,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,5,600894.SH,0.1133,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,6,600329.SH,0.1108,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,7,603833.SH,0.1026,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,8,002004.SZ,0.0945,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,9,600036.SH,0.0932,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,10,300406.SZ,0.0919,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,11,603569.SH,0.0904,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,12,600011.SH,0.0889,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,13,002027.SZ,0.0867,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,14,600398.SH,0.0862,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,15,000915.SZ,0.0861,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,16,603111.SH,0.0852,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,17,000404.SZ,0.0827,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,18,002128.SZ,0.0825,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,19,601169.SH,0.0819,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,20,601598.SH,0.0797,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,21,601216.SH,0.0795,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,22,600350.SH,0.0784,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,23,603508.SH,0.0782,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,24,601088.SH,0.0775,paper only; research observation; no advice
2026Q3,2026-07-12,2026-07-08,25,600704.SH,0.0773,paper only; research observation; no advice
