date,g2_trend_vote,g4_dd_ladder,bench_close,recorded_at,note,g3_dvol_trend
2026-07-03,0.6944,1.0,4842.1737,2026-07-05 20:01:51,paper only; no order; no tuning,
2026-07-06,0.5833,1.0,4841.998,2026-07-06 22:45:57,paper only; no order; no tuning,
2026-07-07,0.3889,1.0,4792.2624,2026-07-07 21:52:28,paper only; no order; no tuning,
2026-07-08,0.3611,1.0,4755.5338,2026-07-08 20:11:06,paper only; no order; no tuning,
2026-07-09,0.5,1.0,4876.3125,2026-07-09 22:13:55,paper only; no order; no tuning,0.4623
2026-07-10,0.3889,1.0,4780.7867,2026-07-10 21:33:31,paper only; no order; no tuning,0.3799
2026-07-13,0.1667,1.0,4695.383,2026-07-13 21:41:32,paper only; no order; no tuning,0.3354
2026-07-14,0.2222,1.0,4796.502,2026-07-14 20:52:53,paper only; no order; no tuning,0.3726
2026-07-15,0.1944,1.0,4786.7828,2026-07-15 20:58:05,paper only; no order; no tuning,0.3493
2026-07-16,0.1389,1.0,4698.4344,2026-07-16 21:06:13,paper only; no order; no tuning,0.282
2026-07-17,0.0,0.6,4529.0953,2026-07-17 20:47:16,paper only; no order; no tuning,0.1689
2026-07-20,0.0,0.6,4598.3208,2026-07-20 21:29:46,paper only; no order; no tuning,0.1934
2026-07-21,0.1111,0.6,4739.2287,2026-07-21 21:04:00,paper only; no order; no tuning,0.2339
2026-07-22,0.0556,0.6,4717.2442,2026-07-22 21:09:16,paper only; no order; no tuning,0.2455
2026-07-24,0.0278,0.6,4649.1917,2026-07-24 21:06:09,paper only; no order; no tuning,0.207
2026-07-27,0.0556,0.6,4702.4272,2026-07-27 21:57:10,paper only; no order; no tuning,0.2575
2026-07-28,0.0,0.6,4569.5235,2026-07-28 21:17:33,paper only; no order; no tuning,0.1818
2026-07-29,0.0,0.6,4600.2624,2026-07-29 21:21:43,paper only; no order; no tuning,0.1894
2026-07-30,0.0,0.6,4549.7201,2026-07-30 21:12:46,paper only; no order; no tuning,0.178
2026-07-31,0.0,0.6,4588.1968,2026-07-31 21:18:18,paper only; no order; no tuning,0.2126
2026-08-03,0.0,0.6,4543.1781,2026-08-03 22:00:58,paper only; no order; no tuning,0.1905
2026-08-04,0.0278,0.6,4600.9304,2026-08-04 21:21:36,paper only; no order; no tuning,0.2127
2026-08-05,0.1389,0.6,4658.1549,2026-08-05 21:19:57,paper only; no order; no tuning,0.2477
2026-08-06,0.1389,0.6,4651.3098,2026-08-06 21:15:51,paper only; no order; no tuning,0.2618
2026-08-07,0.25,0.6,4694.4365,2026-08-07 20:27:02,paper only; no order; no tuning,0.2537
2026-08-10,0.2778,0.6,4702.0247,2026-08-10 20:29:39,paper only; no order; no tuning,0.2843
2026-08-11,0.25,0.6,4663.7887,2026-08-11 20:28:07,paper only; no order; no tuning,0.2852
2026-08-12,0.25,0.6,4690.9165,2026-08-12 20:30:03,paper only; no order; no tuning,0.3043
2026-08-13,0.25,0.6,4663.9513,2026-08-13 20:31:07,paper only; no order; no tuning,0.299
2026-08-14,0.25,0.6,4665.8812,2026-08-14 20:28:17,paper only; no order; no tuning,0.3408
2026-08-17,0.5278,0.6,4741.0981,2026-08-17 19:57:13,paper only; no order; no tuning,0.4542
