date,limit_up_pool_n,max_streak,streak2_n,seal_money_sum,late_seal_n,new_in_pool,recorded_at,note
2026-07-09,74,8,6,125.43,12,0,2026-07-09 21:58:32,paper only; snapshot endpoint (date param inert)
2026-07-10,88,2,9,63.58,1,0,2026-07-10 21:33:34,paper only; snapshot endpoint (date param inert)
2026-07-13,27,3,9,15.01,1,0,2026-07-13 21:41:35,paper only; snapshot endpoint (date param inert)
2026-07-14,79,3,5,73.43,15,0,2026-07-14 20:52:57,paper only; snapshot endpoint (date param inert)
2026-07-15,71,4,15,51.66,5,0,2026-07-15 20:58:08,paper only; snapshot endpoint (date param inert)
2026-07-16,40,5,9,33.96,0,0,2026-07-16 21:06:16,paper only; snapshot endpoint (date param inert)
2026-07-17,32,4,8,21.66,4,0,2026-07-17 20:47:19,paper only; snapshot endpoint (date param inert)
2026-07-20,53,3,7,28.56,8,0,2026-07-20 21:29:49,paper only; snapshot endpoint (date param inert)
2026-07-21,120,4,5,132.72,37,0,2026-07-21 21:04:04,paper only; snapshot endpoint (date param inert)
2026-07-22,46,5,12,39.65,3,0,2026-07-22 21:09:19,paper only; snapshot endpoint (date param inert)
2026-07-24,40,4,17,30.09,3,0,2026-07-24 21:06:11,paper only; snapshot endpoint (date param inert)
2026-07-27,111,5,8,92.37,21,0,2026-07-27 21:57:14,paper only; snapshot endpoint (date param inert)
2026-07-28,60,6,16,56.27,2,0,2026-07-28 21:17:36,paper only; snapshot endpoint (date param inert)
2026-07-29,81,7,11,59.9,6,0,2026-07-29 21:21:47,paper only; snapshot endpoint (date param inert)
2026-07-30,51,8,10,41.36,1,0,2026-07-30 21:12:50,paper only; snapshot endpoint (date param inert)
2026-07-31,98,9,10,58.71,2,0,2026-07-31 21:18:21,paper only; snapshot endpoint (date param inert)
2026-08-03,75,6,17,59.01,2,0,2026-08-03 22:01:01,paper only; snapshot endpoint (date param inert)
2026-08-04,137,7,19,116.24,8,0,2026-08-04 21:21:39,paper only; snapshot endpoint (date param inert)
2026-08-05,102,8,32,88.68,2,0,2026-08-05 21:20:02,paper only; snapshot endpoint (date param inert)
2026-08-06,79,10,22,87.49,4,0,2026-08-06 21:15:54,paper only; snapshot endpoint (date param inert)
2026-08-07,74,4,13,67.73,8,0,2026-08-07 20:27:06,paper only; snapshot endpoint (date param inert)
2026-08-10,99,5,12,77.56,11,0,2026-08-10 20:29:42,paper only; snapshot endpoint (date param inert)
2026-08-11,58,6,16,57.19,4,0,2026-08-11 20:28:11,paper only; snapshot endpoint (date param inert)
2026-08-12,91,7,16,93.38,10,0,2026-08-12 20:30:07,paper only; snapshot endpoint (date param inert)
2026-08-14,62,5,11,78.51,9,0,2026-08-14 20:28:20,paper only; snapshot endpoint (date param inert)
2026-08-17,106,4,15,96.15,9,0,2026-08-17 19:57:17,paper only; snapshot endpoint (date param inert)
2026-08-18,78,4,18,58.2,13,0,2026-08-18 19:58:17,paper only; snapshot endpoint (date param inert)
2026-08-19,36,3,7,27.1,1,0,2026-08-19 19:58:03,paper only; snapshot endpoint (date param inert)
2026-08-20,78,4,4,86.81,3,0,2026-08-20 19:59:33,paper only; snapshot endpoint (date param inert)
2026-08-21,54,3,11,57.37,7,0,2026-08-21 19:58:48,paper only; snapshot endpoint (date param inert)
2026-08-24,46,4,10,46.4,2,0,2026-08-24 19:59:31,paper only; snapshot endpoint (date param inert)
2026-08-25,65,5,9,51.65,4,0,2026-08-25 20:00:28,paper only; snapshot endpoint (date param inert)
2026-08-26,52,5,13,48.06,0,0,2026-08-26 20:01:28,paper only; snapshot endpoint (date param inert)
2026-08-27,76,6,16,85.24,7,0,2026-08-28 05:18:58,paper only; snapshot endpoint (date param inert)
2026-08-28,0,0,0,0.0,0,0,2026-08-29 05:31:26,paper only; snapshot endpoint (date param inert)
2026-08-31,86,6,18,91.06,6,0,2026-09-01 02:08:08,paper only; snapshot endpoint (date param inert)
2026-09-01,80,7,18,77.5,4,0,2026-09-01 23:32:49,paper only; snapshot endpoint (date param inert)
2026-09-02,49,4,13,56.05,1,0,2026-09-02 23:16:56,paper only; snapshot endpoint (date param inert)
2026-09-03,44,5,9,30.77,3,0,2026-09-03 23:10:26,paper only; snapshot endpoint (date param inert)
2026-09-04,38,5,7,26.38,0,0,2026-09-04 23:06:00,paper only; snapshot endpoint (date param inert)
2026-09-07,92,6,13,84.97,3,0,2026-09-08 00:39:29,paper only; snapshot endpoint (date param inert)
2026-09-08,72,4,18,60.75,4,0,2026-09-08 23:18:30,paper only; snapshot endpoint (date param inert)
2026-09-09,48,5,15,34.43,1,0,2026-09-09 23:16:51,paper only; snapshot endpoint (date param inert)
2026-09-10,34,4,9,29.37,2,0,2026-09-10 23:09:23,paper only; snapshot endpoint (date param inert)
2026-09-11,40,4,7,35.89,4,0,2026-09-11 23:11:23,paper only; snapshot endpoint (date param inert)
2026-09-14,55,4,11,49.53,3,0,2026-09-15 01:03:04,paper only; snapshot endpoint (date param inert)
2026-09-15,32,5,7,20.14,1,0,2026-09-15 23:41:01,paper only; snapshot endpoint (date param inert)
2026-09-16,89,6,12,71.44,6,0,2026-09-16 23:32:34,paper only; snapshot endpoint (date param inert)
